District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Kwun Tong,"Tsui Yue House, Tsui Ping (North) Estate",,6939
Kwun Tong,"Tsui Yue House, Tsui Ping (North) Estate",,6940
Yau Tsim Mong,"Tower 2, Harbour Green",,6941
Tsuen Wan,"Block 2, Park Island",,6944
Wong Tai Sin,"Fu Yan House, Fu Shan Estate",,6945
Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",,6946
Kwun Tong,"Tsui Lok House, Tsui Ping South Estate",,6947
Tsuen Wan,"Block 8, Tsuen King Garden",,6948
Tai Po,"Kwong Wai House, Kwong Fuk Estate",,6949
Kowloon City,Regal Oriental Hotel,,6950
Yuen Long,"Chung Shui House, Tin Chung Court",,6951
Eastern,Bo Sun Court,,6952
Eastern,Bo Sun Court,,6953
Sham Shui Po,"Lai Chak House, Chak On Estate",,6954
Kowloon City,Kaiser Estate Phase II,,6954
Kwun Tong,"Sau Yat House, Sau Mau Ping Estate",,6955
Kowloon City,Loong Pont House,,6956
Sham Shui Po,"Tower 3B, Phase 3, Cullinan West",,6957
Yau Tsim Mong,Bedford Tower,,6958
Kowloon City,"Tak Kei House, Tak Long Estate",,6959
Sha Tin,"Wing Shui House, Lek Yuen Estate",,6960
Tuen Mun,"Block 10, Sun Tuen Mun Centre",,6961
Sha Tin,"Tower 1, The Palazzo",,6962
Eastern,Tung Wah Group of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,,6963
Central & Western,"45, First Street",,6964
Sham Shui Po,Cheung Hing Mansion,,6965
Eastern,"Man Chak House, Hing Man Estate",,6966
Sha Tin,"Yiu Ping House, Yiu On Estate",,6967
Kwai Tsing,"Block 8, Kwai Shing West Estate",,6968
Kowloon City,"Belfran Mansion, Kowloon Tong",,6969
Kwun Tong,Mai Tak Industrial Building,,6970
Wong Tai Sin,"Tower 2, Grand View Garden",,6971
Yau Tsim Mong,"Block 5, Prosperous Garden",,6972
Wong Tai Sin,"Wai Yuen House, Chuk Yuen North Estate",,6973
Tuen Mun,"Ting Hong House, On Ting Estate",,6974
Wong Tai Sin,52-56 Ngan Fung Street,,6975
Kwun Tong,19-23 Hang On Street,,6976
Kwun Tong,"Tai On House, Wo Lok Estate",,6977
Sha Tin,"Block D, Garden Rivera",,6979
North,"Fu Ming House, Wah Ming Estate",,6980
Kwun Tong,"Lam Tai House, Lam Tin Estate",,6988
Tuen Mun,"Block 3, Oi Tak House, Yau Oi Estate",,6989
Southern,"Fu On Yuen, Chi Fu Fa Yuen",,6990
Southern,"South Tower 6, Phase 2, Residence Bel-Air",,6991
Kowloon City,"Tak Kei House, Tak Long Estate",,6992
Sha Tin,"Po On House, Kam On Court",,6993
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",,6994
Wong Tai Sin,"Lok Tung House, Lok Fu Estate",,6995
Wong Tai Sin,"Block 1, San Po Kong Plaza",,6996
Sham Shui Po,"25 Broadway, Mei Foo Sun Chuen",,6997
Yau Tsim Mong,198 Fa Yuen Street,,6998
Tuen Mun,"Hing Yiu House, Tai Hing Estate",,6999
Wong Tai Sin,Ngau Chi Wan West Village,,7000
Sha Tin,"Golden Healthy Court, Stage 1, Golden Lion Garden",,7001
Kwun Tong,"Tat Hin House, Po Tat Estate",,7002
Eastern,"Block A, Bo Fung Gardens",,7004
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,7006
Kowloon City,"Choi Man House, Ho Man Tin Estate",,7007
Central & Western,"On Lok Building, Tai On Terrace",,7008
Islands,"Mun Yat House, Yat Tung (2) Estate",,7009
Tuen Mun,"Nga Hei House, Siu Hei Court",,7010
Kwai Tsing,Ha Kwai Chung Village,,7011
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7012
North,Fanling Town Center,,7013
Yuen Long,Pak Sha Tsuen,,7014
Tai Po,Tai Mei Tuk Tsuen,,7022
Sham Shui Po,234 Yu Chau Street,,7023
Yau Tsim Mong,On Hong Building,,7024
Islands,Novotel Citygate Hong Kong,,7025
Central & Western,Namhung Mansion,,7026
Wong Tai Sin,"Tower 1, Wing Ting Road Fire Services Married Quarters",,7028
Sha Tin,"Block 2, Park View Garden",,7029
Wan Chai,Sun Hey Mansion,,7030
Sai Kung,"King Yung House, King Lam Estate",,7032
Tuen Mun,"Block B, Palm Court",,7033
Kwai Tsing,"Chin Kwai House, Kwai Chung Estate",,7034
Kwai Tsing,"Fu Wah House, Tai Wo Hau Estate",,7035
Central & Western,"Block 1, Winner Court",,7036
Kwun Tong,"Block 13, Laguna City",,7037
Sha Tin,"Tower 3, Man Lai Court",,7038
Sai Kung,"Block 5, Bauhinia Garden",,7039
Sai Kung,"Block 5, Beverly Garden",,7040
Wong Tai Sin,"On Hong House, Tsz On Court",,7041
Kwun Tong,"Hong Nin House, Hong Yat Court",,7042
Eastern,"Block 4, Cheerful Garden",,7043
Islands,Headland Hotel,,7044
Kowloon City,"Po Man House, Oi Man Estate",,7045
Kowloon City,Soares Garden,,7046
Kowloon City,420 Prince Edward Road West,,7046
Sai Kung,"Kwong Yin House, Kwong Ming Court",,7047
Yau Tsim Mong,"Block 13, Charming Garden",,7048
Sha Tin,"Mei Tao House, Mei Lam Estate",,7049
Tuen Mun,"Lok Sang House, Kin Sang Estate",,7050
Sham Shui Po,Sun Ho House,,7051
Sha Tin,"Golden Healthy Court, Stage 1, Golden Lion Garden",,7052
Wan Chai,Jardine Summit,,7054
Sai Kung,"Tower 1, Fire Services Department Tseung Kwan O Rank and File Married Quarters",,7056
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7057
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7058
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7059
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7060
Yau Tsim Mong,373 Reclamation Street,,7062
Eastern,"Chin Hing House, Hing Wah (II) Estate",,7063
Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",,7064
Wong Tai Sin,"Hing Tung House, Tung Tau (II) Estate",,7065
Tai Po,Wai Ha Village,,7065
Central & Western,Luen Hing Apartments,,7066
Kowloon City,1B Mok Cheong Street,,7067
Kwai Tsing,"Luen Yat House, Kwai Luen Estate",,7068
Sham Shui Po,"Wah Chak House, Chak On Estate",,7069
Kwai Tsing,"Shek Wing House, Shek Lei (II) Estate",,7070
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",,7071
Southern,"Wah Ching House, Wah Fu Estate",,7072
Tuen Mun,"Low Block, Oi Ming House, Yau Oi Estate",,7073
Southern,Aberdeen Harbour Mansion,,7074
Southern,Aberdeen Harbour Mansion,,7075
Central & Western,18-20 Upper Station Street,,7082
Yau Tsim Mong,"Block 13, Charming Garden",,7083
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,7084
Tuen Mun,"Oi Tai House, Fu Tai Estate",,7085
Central & Western,18-20 Upper Station Street,,7086
Sha Tin,"Block 3, Grandway Garden",,7087
Sham Shui Po,"Block 10, Pak Tin Estate",,7088
Wan Chai,Kin Ga Building,,7089
Kwun Tong,"Kui On House, Wo Lok Estate",,7090
Tsuen Wan,"Hoi Yin Mansion, Riviera Gardens",,7091
Wong Tai Sin,"On Hong House, Tsz On Court",,7092
Sha Tin,"Cypress House, Kwong Yuen Estate",,7093
Sha Tin,"Hin Yeung House, Hin Keng Estate",,7094
Southern,"Yee Moon Court, South Horizons",,7095
Yuen Long,Shek Wu Tong,,7096
Yau Tsim Mong,David Mansion,,7097
Kowloon City,"On Ning Building, Mei Kwong Street",,7098
Tuen Mun,"Oi Ming House, Yau Oi Estate",,7099
Kwai Tsing,53 Texaco Road,,7100
Sha Tin,"Ming Yan Lau, Jat Min Chuen",,7101
Kwun Tong,"Tat Chui House, Po Tat Estate",,7102
Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",,7103
Eastern,Siu Wah Building,,7104
Southern,Tin Wan Correctional Services Department Staff Quarters,,7105
Wong Tai Sin,"Lung San House, Lung Poon Court",,7106
Tai Po,"Kui Wo House, Tai Wo Estate",,7107
Sha Tin,"Hin Yeung House, Hin Keng Estate",,7108
North,"Tower 7, Eden Manor",,7109
North,Mun Hau Tsuen,,7110
Sai Kung,"Po Pak House, Po Ming Court",,7111
Kwun Tong,"Block 6, Richland Gardens",,7112
Kwun Tong,"Sau Nga House, Sau Mau Ping Estate",,7114
Kowloon City,Garfield Court,,7115
Kwai Tsing,"Shek Wing House, Shek Lei (II) Estate",,7116
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",,7117
Kwun Tong,"Hiu Wo House, Hiu Lai Court",,7118
Kowloon City,"Yee Man House, Ho Man Tin Estate",,7119
Sham Shui Po,"Block A, Pei Ho Building",,7120
Tuen Mun,"Shun Sang House, Siu Hin Court",,7122
Kwun Tong,"Wo Kin House, Cheung Wo Court",,7123
Tuen Mun,"Shun Sang House, Siu Hin Court",,7124
Yuen Long,"Tower 7, Park Royale",,7125
Tuen Mun,"Block 2, Blossom Garden",,7126
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7127
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7128
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7129
Wong Tai Sin,Pak Lok Nursing Home Company Limited,,7130
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7131
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7132
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,7133
Yau Tsim Mong,Kiu Ming Mansion,,7134
Yau Tsim Mong,Kiu Ming Mansion,,7135
Kwun Tong,"Tat Hin House, Po Tat Estate",,7136
Kwun Tong,"Tat Fu House, Po Tat Estate",,7137
Wong Tai Sin,King Hin Court,,7138
Sham Shui Po,"Un On Building, 130 Camp Street",,7139
Wong Tai Sin,"Ming Lai House, Choi Wan (II) Estate",,7140
Kowloon City,"Hung Yat House, Hung Hom Estate",,7141
Kwun Tong,"Sau Sin House, Sau Mau Ping South Estate",,7142
Yau Tsim Mong,83 Tung Choi Street,,7143
Yau Tsim Mong,83 Tung Choi Street,,7144
Sham Shui Po,"Fu Wen House, Fu Cheong Estate",,7145
Kowloon City,"Block 4, Bauhinia Mansions, Whampoa Garden",,7146
Tai Po,Kam Fuk Building,,7147
Yuen Long,"Tower 2, Residence 88",,7148
Kwai Tsing,"Block 8 , Kwai Shing West Estate",,7149
Kwai Tsing,"Block 8 , Kwai Shing West Estate",,7150
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7151
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7152
Islands,Novotel Citygate Hong Kong,,7153
Central & Western,"Tower 2, Island Crest",,7154
Tai Po,"King Yuet House, King Nga Court",,7155
Kwai Tsing,"Wang Yung House, Cheung Wang Estate",,7156
Southern,"Wah Kin House, Wah Fu 1 Estate",,7157
Wong Tai Sin,"Wang Hong House, Lok Fu Estate",,7158
Tai Po,Po Sam Pai Tsuen,,7160
Sha Tin,"Kwai Shing House, May Shing Court",,7161
Kowloon City,23 Lun Cheung Street,,7162
Sha Tin,Tai Wai New Village,,7163
Yau Tsim Mong,The Kimberley Hotel,,7165
Kowloon City,"Yee Man House, Ho Man Tin Estate",,7166
Sha Tin,"Block 2, Jubilee Garden",,7167
Sha Tin,"Mei Tao House, Mei Lam Estate",,7168
Sham Shui Po,"5-7 Broadway, Stage 1, Mei Foo Sun Chuen",,7169
Kowloon City,King's Building,,7170
Kowloon City,Lucky Building,,7171
North,"G/F, Block 3 & 4 and Block 5 & 6, Regent Garden, Hang Tau Village",,7172
Eastern,"Block 5, Cheerful Garden",,7173
Tai Po,Tung Tsz Shan Road,,7174
Sha Tin,"Wing Hing House, Sui Wo Court",,7175
Wong Tai Sin,"King Yiu House, King Shan Court",,7176
Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",,7177
Kwai Tsing,"Shing Fu House, Kwai Shing East Estate",,7178
Wong Tai Sin,"Block 10, Rhythm Garden",,7179
Wong Tai Sin,"Choi Tung House, Tung Tau (II) Estate",,7180
Sha Tin,"Ming Yan House, Jat Min Chuen",,7181
Tsuen Wan,53 Texaco Road,,7182
Tuen Mun,"Block 12, Yuet Wu Villa",,7183
Kwun Tong,"Choi Chun House, Choi Tak Estate",,7184
Sham Shui Po,"Un Chau Street, Cheung Fat Mansion",,7185
Sha Tin,"Lee Hing House, Lee On Estate",,7186
Eastern,"Yue Chun House, Yue Wan Estate",,7187
Kowloon City,"Block 3, Oak Mansions, Phase 5, Whampoa Garden",,7188
Kwun Tong,"Shuk Mei House, Yau Mei Court",,7189
Wong Tai Sin,"Lung Hong House, Lower Wong Tai Sin Estate",,7190
Islands,Hong Kong SkyCity Marriott Hotel,,7191
Islands,"Kai Tung House, Yu Tung Court",,7192
Tai Po,"Tower 9, Mayfair By The Sea II",,7193
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,7196
Kwun Tong,"Tat Chui House, Po Tat Estate",,7197
Kwun Tong,"Tat Yi House, Po Tat Estate",,7198
Sha Tin,"Wing Shui House, Lek Yuen Estate",,7199
Sha Tin,"Wing Shui House, Lek Yuen Estate",,7200
Eastern,"Wan Ying House, Chai Wan Estate",,7201
Eastern,"Wan Ying House, Chai Wan Estate",,7202
Sai Kung,"Tower 9, Le Point, Metro Town",,7203
Kwun Tong,"Tat Yi House, Po Tat Estate",,7204
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,7205
Islands,"Mun Yat House, Yat Tung (II) Estate",,7206
Sham Shui Po,234 Yu Chau Street,,7207
Kwai Tsing,"Ha Kwai House, Kwai Chung Estate",,7208
Sham Shui Po,Shing To Building,,7209
Yuen Long,"Tower 7, Park Royale",,7210
Yuen Long,"Tower 7, Park Royale",,7211
Yuen Long,"Tower 7, Park Royale",,7212
Tuen Mun,Siu Lung Court,,7213
Southern,"Block 10, Hong Kong Parkview",,7217
Yuen Long,Wang Lok Street Yeung Uk Tsuen,,7218
Yau Tsim Mong,"Block 2, Metro Harbour View",,7219
Tai Po,Kwong On Building,,7220
Kowloon City,Hung Ying House,,7221
Tai Po,Kwong On Building,,7222
Eastern,"Wan Ying House, Chai Wan Estate",,7224
Eastern,"Block 2, Chai Wan Police Married Quarters",,7225
Wong Tai Sin,"Shun Tin House, Shatin Pass Estate",,7226
Sha Tin,"Po On House, Kam On Court",,7227
Kwun Tong,"Lam Fai House, Lam Tin Estate",,7228
Kowloon City,Wang Fung Building,,7229
Sai Kung,"Tong Wong House, Tong Ming Court",,7230
Sai Kung,"On Lam House, Tsui Lam Estate",,7231
Kwai Tsing,"Kwai Oi House, Kwai Fong Estate",,7232
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",,7233
Kwun Tong,"Ping Shing House, Ping Tin Estate",,7234
Tai Po,"Block B, Plover Cove Garden",,7235
Sha Tin,"Wing Hing House, Sui Wo Court",,7236
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,7237
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,7238
Kwun Tong,"Block 6, Richland Gardens",,7239
Sai Kung,Tseng Lan Shue Village,,7241
Yau Tsim Mong,"Block 4, Prosperous Garden",,7242
Wong Tai Sin,"King Yiu House, King Shan Court",,7243
Yuen Long,"Sau Ping House, Long Ping Estate",,7244
Kwun Tong,"Him Tat House, On Tat Estate",,7246
Yuen Long,The Vineyard,,7247
Central & Western,"Tower 5, The Belcher's",,7248
Kowloon City,"Wing Wing Building, Whampoa Estate",,7249
Yau Tsim Mong,292 Shanghai Street,,7250
Yau Tsim Mong,Dorfu Court,,7251
Sha Tin,"Kam Ling House, Kam Fung Court",,7252
Sham Shui Po,4 Cedar Street,,7253
North,"Wah Koon House, Wah Sum Estate",,7254
Yuen Long,Wing Fat House,,7255
Kowloon City,On Ning Building,,7256
Sham Shui Po,"Un Chau Street, Cheung Fat Mansion",,7257
Yau Tsim Mong,Delta Hotel,,7259
Tsuen Wan,"Block 12, Park Island",,7260
Kwun Tong,"Sau Wai House, Sau Mau Ping Estate",,7263
Tuen Mun,"Block 12, Yuet Wu Villa",,7264
Kwun Tong,"Tat Yi House, Po Tat Estate",,7265
Kowloon City,Merrington Mansion,,7266
Yau Tsim Mong,Luen On Building,,7267
Sha Tin,"Kam Wing House, Kam Hay Court",,7268
Wong Tai Sin,"Tsz Fung House, Fung Tak Estate",,7269
Sha Tin,"Wah Shing House, Fung Shing Court",,7270
Kowloon City,"Tower 3, One Kai Tak (II)",,7271
Sha Tin,"Tower 2, Parc Royale",,7272
Central & Western,Ramada Hong Kong Harbour View,,7273
Kowloon City,O' Hotel,,7274
Wan Chai,Caroline Hill Court,,7275
Central & Western,"Block F, Kwun Lung Lau",,7276
Sham Shui Po,"Block 23, Shek Kip Mei Estate",,7277
Wong Tai Sin,"Ching Tak House, Tsz Ching Estate",,7278
Sham Shui Po,"Wing Kit House, Wing Cheong Estate",,7279
Yuen Long,"Block 6, The Parkhill",,7280
Kwai Tsing,"Cheung Yam House, On Yam Estate",,7281
Kwai Tsing,"Hong Wah House, Cheung Hong Estate",,7282
Yuen Long,Greenery Gardens,,7283
Kwai Tsing,"Block 7, Tsing Yi Garden",,7284
Kwun Tong,"Hong Nin House, Hong Yat Court",,7285
Sha Tin,"Sun Ming House, Sun Chui Estate",,7286
Tsuen Wan,"Tower 1, Phase 1, Belvedere Garden",,7287
Kowloon City,Ng Fung House,,7288
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,7289
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,7290
Kwun Tong,"Choi Kiu House, Choi Hing Court",,7291
Kwun Tong,"Tat Yan House, Po Tat Estate",,7292
Tsuen Wan,Sam Tung Uk Village,,7293
Kowloon City,Merrington Mansion,,7294
Sham Shui Po,Pei Ho Building,,7296
Tai Po,"Wan Loi House, Wan Tau Tong Estate",,7297
Sham Shui Po,"Pei Ho Building, Fuk Wa Street",,7298
Tai Po,"Kwong Ping House, Kwong Fuk Estate",,7299
Kowloon City,"Sheung Ching House, Kai Ching Estate",,7300
Central & Western,Welland Building,,7301
Southern,"Wah Ching House, Wah Fu (I) Estate",,7302
Kowloon City,Garfield Court,,7303
Yau Tsim Mong,"Block 4, Prosperous Garden",,7304
Yuen Long,Len Shing Mansion,,7305
Yau Tsim Mong,"Block A, Harbourfront Horizon",,7306
Kwun Tong,"Tat Hin House, Po Tat Estate",,7307
Yuen Long,Pak Sha Tsuen,,7309
Sai Kung,"Block 8, Beverly Garden",,7310
Kowloon City,"Yee Man House, Ho Man Tin Estate",,7311
Kwun Tong,"Hong Nin House, Hong Yat Court",,7313
Kwun Tong,"Tat Yi House, Po Tat Estate",,7314
Sham Shui Po,Sun Fair Building,,7315
Kwun Tong,"Wo Kin House, Cheung Wo Court",,7316
Kwun Tong,"Tat Hin House, Po Tat Estate",,7317
Yau Tsim Mong,"Dorfu Court, Hau Fook Street",,7318
Yuen Long,Tan Kwai Tsuen Road,,7319
Kwai Tsing,53 Texaco Road,,7321
Kwun Tong,20 Ting Yip Street,,7322
Tai Po,"Kwong Wai House, Kwong Fuk Estate",,7323
Kwun Tong,"Tat Yi House, Po Tat Estate",,7324
Yuen Long,Len Shing Mansion,,7325
Kowloon City,Garfield Court,,7326
Kwun Tong,"Chi Tai House, On Tai Estate",,7327
Sham Shui Po,Sun Fair Building,,7329
Eastern,"Hiu Tao House, Tung Tao Court",,7330
Kwai Tsing,"Shing Fu House, Kwai Shing East Estate",,7331
Sha Tin,"Yu Moon House, Yu Chui Court",,7332
Sha Tin,"Tower 3, Man Lai Court",,7333
Central & Western,"Block 2, Elegant Garden",,7334
Sha Tin,"Tower 3, Man Lai Court",,7335
Kwun Tong,"Tsui To House, Tsui Ping North Estate",,7336
Sai Kung,"Sheung Chun House, Sheung Tak Estate",,7337
Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",,7338
Yuen Long,"Ping Yin House, Ping Yan Court",,7339
Central & Western,Kennedy Heights,,7340
Yau Tsim Mong,Chung Wo Building,,7341
Kwai Tsing,"Block A, Tsing Yi Police Married Quarters",,7342
Sha Tin,"San Shek House, Shek Mun Estate",,7343
Sha Tin,"Ming Yan House, Jat Min Chuen",,7344
Eastern,Siu Wah Building,,7345
Yuen Long,"Chak Yu House, Tin Chak Estate",,7346
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",,7348
Tai Po,"Tower 5, Phase 2, Centra Horizon",,7351
Tai Po,"Yee Lai House, Yee Nga Court",,7352
Yau Tsim Mong,577 Canton Road,,7353
Southern,"Shing Tak House, Lung Tak Court",,7354
Wan Chai,Best Western Hotel Causeway Bay,,7355
Yuen Long,"Block 9, Grandeur Terrace",,7356
Sham Shui Po,"Tao Tak House, Lei Cheng Uk Estate",,7357
Sha Tin,"Hei Chuen House, Shui Chuen O Estate",,7358
Central & Western,Luen Tak Apartments,,7359
Yuen Long,"Tower 2, Park Royale",,7360
Yuen Long,Greenery Gardens,,7361
Central & Western,Mia Casa Hotel,,7362
Yau Tsim Mong,611 Reclamation Street,,7363
Yau Tsim Mong,611 Reclamation Street,,7364
Sha Tin,"Fook Ki Court, Holford Garden",,7365
Sai Kung,"Yee Ching House, Yee Ming Estate",,7366
Kowloon City,Kwun Hei Court,,7367
Sham Shui Po,"49-51 Broadway, Phase 3, Mei Foo Sun Chuen",,7368
Tuen Mun,"Block 1, Hong Tak Gardens",,7369
Southern,"Pik Long House, Shek Pai Wan Estate",,7370
Kwun Tong,"Block 2, Lotus Tower",,7371
Yuen Long,"Block 5, Villa By The Park",,7372
Eastern,Tai On Building,,7373
Sham Shui Po,"Mei Yue House, Shek Kip Mei Estate",,7374
Wan Chai,Hennessy Road Court,,7375
Kwun Tong,"Block 6, Richland Gardens",,7376
Islands,"Mun Yat House, Yat Tung (II) Estate",,7377
Yau Tsim Mong,198 Fa Yuen Street,,7379
Sha Tin,"Wing Shui House, Lek Yuen Estate",,7382
Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",,7383
Wong Tai Sin,"Hing Tung House, Tung Tau (II) Estate",,7384
North,"G/F, Block 3 & 4 and Block 5 & 6, Regent Garden, Hang Tau Village",,7385
Yau Tsim Mong,198 Fa Yuen Street,,7386
Wong Tai Sin,22 Lung Chi Path,,7387
Kowloon City,"Mei Yan House, Mei Tung Estate",,7388
Yau Tsim Mong,The Cityview,,7389
Yuen Long,Shek Wu Tong,,7390
Yuen Long,Shek Wu Tong,,7391
Yuen Long,"Petrus Avenue, The Vineyard",,7392
Kwun Tong,"Tat Hin House, Po Tat Estate",,7393
Yuen Long,"Wing Fu House, Tin Fu Court",,7394
Kwun Tong,"Lei Ye House, Lei Yue Mun Estate",,7395
Kwun Tong,"Choi Kiu House, Choi Hing Court",,7396
Kwun Tong,"Hung Shek House, Ping Shek Estate",,7397
Kwun Tong,"Yee Hong House, Hong Wah Court",,7398
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,7399
Kwun Tong,"Tsui Mui House, Tsui Ping (North) Estate",,7400
Kwun Tong,Hing Tat Mansion,,7401
Yuen Long,"Heng Kin House, Tin Heng Estate",,7402
Kwun Tong,"Tin Chi House, Shun Tin Estate",,7403
Kwun Tong,"Lei Sang House, Lei Yue Mun Estate",,7404
Wong Tai Sin,"Lung Hei House, Lower Wong Tai Sin (II) Estate",,7405
Wong Tai Sin,22 Lung Chi Path,,7406
Central & Western,Luen Tak Apartments,,7407
Central & Western,"Block D, Phase II, Kwan Yick Building",,7408
Kwun Tong,"Yun Mei House, Yau Mei Court",,7409
Wong Tai Sin,"Block 10, Rhythm Garden",,7410
Kwun Tong,"Yun Mei House, Yau Mei Court",,7411
Central & Western,Luen Tak Apartments,,7412
Sai Kung,Tseng Lan Shue Tsuen,,7414
Kwun Tong,"Tat Hin House, Po Tat Estate",,7415
Kwun Tong,"Tsui Mui House, Tsui Ping (North) Estate",,7417
Kwai Tsing,"Block 2, Kwai Chung Plaza",,7418
Tai Po,"Block 5, Richwood Park",,7419
Sham Shui Po,"Hoi Yin House, Hoi Lai Estate",,7420
Sham Shui Po,"Hoi Yin House, Hoi Lai Estate",,7421
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",,7422
Kwun Tong,"Ying Fu House, Choi Ying Estate",,7423
Eastern,"Wan Ying House, Chai Wan Estate",,7424
Sham Shui Po,41 Tai Po Road,,7425
Sham Shui Po,"43 Broadway, Stage 3, Mei Foo Sun Chuen",,7426
Sham Shui Po,"43 Broadway, Stage 3, Mei Foo Sun Chuen",,7427
Kwun Tong,"Block 2, Lotus Tower, Kwun Tong Garden Estate",,7428
Sham Shui Po,"Wah Chak House, Chak On Estate",,7429
Kwun Tong,"Tsui Mui House, Tsui Ping (North) Estate",,7430
Kwun Tong,"Tsui Mui House, Tsui Ping (North) Estate",,7431
Eastern,"Hiu Tao House, Tung Tao Court",,7432
Islands,"Mun Yat House, Yat Tung (2) Estate",,7433
Sha Tin,"Tower 3, Fook Ki Court, Holford Garden",,7434
Eastern,King Tsui Court,,7435
Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",,7436
Sham Shui Po,"Hoi Yin House, Hoi Lai Estate",,7437
Yuen Long,"Wah Sui House, Tin Wah Estate",,7438
Wong Tai Sin,Ngau Chi Wan West Village,,7439
North,Fu Ho Mansion,,7440
Yau Tsim Mong,Chungking Mansions,,7441
Kwai Tsing,"Chak Yam House, On Yam Estate",,7442
Wong Tai Sin,"Fu Yan House, Fu Shan Estate",,7443
Islands,Hong Kong SkyCity Marriott Hotel,,7446
Eastern,Kiu Fai Mansion,,7450
Kwun Tong,"On Wah House, Lok Wah South Estate",,7451
Kwai Tsing,"Lai Shek House, Shek Yam Estate",,7452
Kwun Tong,"Tao Nga House, Hong Nga Court",,7453
Kwun Tong,"Tao Nga House, Hong Nga Court",,7454
Sha Tin,"San Shek House, Shek Mun Estate",,7455
Sai Kung,"Block 5, Beverly Garden",,7456
Eastern,Bayview Park,,7457
Kwai Tsing,"Block E, New Kwai Fong Gardens",,7458
Eastern,"Tower 1, Greenwood Terrace",,7459
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",,7460
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",,7461
Central & Western,Garfield Mansion,,7462
Kwun Tong,"Man On House, Wo Lok Estate",,7463
Eastern,"Block 7, Fullview Garden",,7464
Central & Western,"Block D, Phase 2, Kwan Yick Building",,7465
Southern,Yen Shing Mansion,,7466
Wan Chai,Hang Po Building,,7467
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7468
Sham Shui Po,"Hoi Yin House , Hoi Lai Estate",,7469
Kwai Tsing,"Block 8, Kwai Shing West Estate",,7470
Tai Po,Kwong On Building,,7471
Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,,7472
Kwun Tong,"Lei Ye House, Lei Yue Mun Estate",,7473
Yuen Long,"Sau Ping House, Long Ping Estate",,7474
Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",,7475
Wong Tai Sin,"Block 1, San Po Kong Plaza",,7475
Sham Shui Po,"14 Broadway, Stage 1, Mei Foo Sun Chuen",,7476
Kwun Tong,"Block 16, Sceneway Garden",,7477
Kwun Tong,"Ping Shing House, Ping Tin Estate",,7478
Yau Tsim Mong,"Block A, Harbourfront Horizon",,7480
Kwai Tsing,"Kwai Foon House, Kwai Fong Estate",,7481
Sham Shui Po,Un Chau Street Cheung Fat Mansion,,7482
Sham Shui Po,Shing To Building,,7483
Sai Kung,"Kwong Yin House, Kwong Ming Court",,7486
Kwai Tsing,"On Mei House, Cheung On Estate",,7488
Sham Shui Po,"Cherry House, So Uk Estate",,7489
Sha Tin,"Block 10, Royal Ascot",,7490
